"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
"","",18,0,251,252 days,100.0,95.518638,-4.481362,-2.346845,100.0,0.0,19.248251,99 days,3,3,0,0.000000,66.666667,13.299769,-16.798593,7.313762,-16.798593,45 days 12:00:00,14 days 00:00:00,0.767630,-1.493787,-0.193770,-0.333802,0.959460,-0.264679
"","",19,0,251,252 days,100.0,71.856588,-28.143412,-6.721865,100.0,0.0,32.314986,133 days,3,3,0,0.000000,33.333333,1.327756,-16.798593,1.327756,-15.782824,21 days 00:00:00,16 days 12:00:00,0.045053,-9.381137,-2.178388,-1.177194,0.495781,-2.474594
14,54,0,0,251,252 days,100.0,79.828192,-20.171808,12.233055,100.0,0.0,20.171808,71 days,2,2,0,0.000000,0.000000,-9.359702,-11.928585,NaN,-10.644144,NaT,20 days 00:00:00,0.000000,-10.085904,-2.169690,-1.380264,0.470404,-2.457125
"","",1,0,251,252 days,100.0,80.829679,-19.170321,-4.137931,100.0,0.0,20.171808,105 days,3,2,1,1.001487,0.000000,-9.359702,-11.928585,NaN,-10.644144,NaT,20 days 00:00:00,0.000000,-10.085904,-1.996851,-1.315081,0.520435,-2.292588
"","",2,0,251,252 days,100.0,61.979112,-38.020888,-37.732028,100.0,0.0,38.020888,139 days,3,3,0,0.000000,0.000000,-9.359702,-22.359369,NaN,-14.549219,NaT,17 days 16:00:00,0.000000,-12.673629,-3.252045,-1.314717,0.335092,-3.443596
"","",3,0,251,252 days,100.0,70.623181,-29.376819,-31.156419,100.0,0.0,38.020888,174 days,4,3,1,8.644068,0.000000,-9.359702,-22.359369,NaN,-14.549219,NaT,17 days 16:00:00,0.000000,-12.673629,-1.979805,-1.040887,0.591838,-2.325286
"","",4,0,251,252 days,100.0,90.066569,-9.933431,-6.756252,100.0,0.0,34.622248,163 days,3,2,1,21.687366,0.000000,-11.928585,-22.359369,NaN,-17.143977,NaT,19 days 00:00:00,0.000000,-15.810399,-0.360096,-0.406131,0.915325,-0.500373
"","",5,0,251,252 days,100.0,128.834731,28.834731,29.639547,100.0,0.0,24.139976,87 days,2,1,1,51.194099,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,1.268150,1.836600,1.376189,2.123964
"","",6,0,251,252 days,100.0,134.729933,34.729933,38.860759,100.0,0.0,24.139976,87 days,2,1,1,57.089302,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,1.405746,2.236905,1.356437,2.339602
"","",7,0,251,252 days,100.0,157.769109,57.769109,51.770207,100.0,0.0,14.701493,38 days,2,1,1,3.379444,100.000000,54.389665,54.389665,54.389665,NaN,129 days,NaT,inf,54.389665,2.144785,6.364038,1.572692,4.015730
